region,postcode_sector,month,avg_price,volume
East England,PE1 1,8,128000,3
East England,PE1 2,8,194000,3
East England,PE1 3,8,192000,8
East England,PE1 4,8,207000,9
East England,PE1 5,8,188000,9
East England,PE10 0,8,303000,18
East England,PE10 2,8,290000,1
East England,PE10 9,8,254000,15
East England,PE11 1,8,198000,16
East England,PE11 2,8,188000,13
East England,PE11 3,8,263000,18
East England,PE11 4,8,303000,13
East England,PE12 0,8,382000,14
East England,PE12 6,8,228000,16
East England,PE12 7,8,258000,7
East England,PE12 8,8,332000,6
East England,PE12 9,8,228000,16
East England,PE13 1,8,146000,6
East England,PE13 2,8,301000,6
East England,PE13 3,8,219000,12
East England,PE13 4,8,331000,10
East England,PE13 5,8,236000,6
East England,PE14 0,8,240000,4
East England,PE14 7,8,315000,4
East England,PE14 8,8,297000,6
East England,PE14 9,8,242000,3
East England,PE15 0,8,302000,17
East England,PE15 8,8,234000,22
East England,PE15 9,8,290000,14
East England,PE16 6,8,289000,24
East England,PE19 1,8,282000,8
East England,PE19 2,8,250000,11
East England,PE19 5,8,340000,4
East England,PE19 6,8,372000,12
East England,PE19 7,8,485000,1
East England,PE19 8,8,365000,11
East England,PE2 5,8,245000,11
East England,PE2 6,8,313000,4
East England,PE2 7,8,335000,3
East England,PE2 8,8,231000,16
East England,PE2 9,8,227000,8
East England,PE20 1,8,229000,8
East England,PE20 3,8,260000,6
East England,PE21 0,8,182000,14
East England,PE21 7,8,222000,8
East England,PE21 8,8,140000,8
East England,PE21 9,8,231000,13
East England,PE22 0,8,326000,10
East England,PE22 7,8,224000,4
East England,PE22 8,8,316000,7
East England,PE22 9,8,235000,9
East England,PE23 4,8,372000,2
East England,PE23 5,8,283000,10
East England,PE24 4,8,200000,2
East England,PE24 5,8,198000,12
East England,PE25 1,8,195000,3
East England,PE25 2,8,187000,6
East England,PE25 3,8,181000,9
East England,PE26 1,8,252000,3
East England,PE26 2,8,313000,5
East England,PE27 3,8,266000,6
East England,PE27 4,8,502000,2
East England,PE27 5,8,230000,3
East England,PE27 6,8,356000,4
East England,PE28 0,8,315000,6
East England,PE28 2,8,404000,16
East England,PE28 3,8,380000,10
East England,PE28 4,8,313000,11
East England,PE28 5,8,408000,6
East England,PE28 9,8,340000,6
East England,PE29 1,8,252000,6
East England,PE29 2,8,301000,14
East England,PE29 3,8,163000,5
East England,PE29 6,8,387000,6
East England,PE29 7,8,175000,1
East England,PE3 6,8,221000,8
East England,PE3 7,8,152000,5
East England,PE3 8,8,221000,5
East England,PE3 9,8,284000,4
East England,PE30 2,8,175000,5
East England,PE30 3,8,252000,16
East England,PE30 4,8,213000,5
East England,PE30 5,8,251000,6
East England,PE31 6,8,376000,17
East England,PE31 7,8,321000,13
East England,PE31 8,8,479000,4
East England,PE32 1,8,349000,12
East England,PE32 2,8,380000,3
East England,PE33 0,8,320000,9
East England,PE33 9,8,375000,8
East England,PE34 3,8,352000,5
East England,PE34 4,8,271000,8
East England,PE36 5,8,333000,7
East England,PE36 6,8,556000,4
East England,PE37 7,8,184000,12
East England,PE37 8,8,269000,9
East England,PE38 0,8,313000,8
East England,PE38 9,8,302000,20
East England,PE4 5,8,178000,2
East England,PE4 6,8,244000,5
East England,PE4 7,8,206000,7
East England,PE5 7,8,350000,1
East England,PE6 0,8,282000,10
East England,PE6 7,8,377000,11
East England,PE6 8,8,344000,11
East England,PE6 9,8,410000,6
East England,PE7 0,8,255000,1
East England,PE7 1,8,239000,6
East England,PE7 2,8,237000,7
East England,PE7 3,8,299000,13
East England,PE7 8,8,307000,14
East England,PE8 4,8,376000,8
East England,PE8 5,8,678000,5
East England,PE8 6,8,464000,5
East England,PE9 1,8,313000,14
East England,PE9 2,8,433000,22
East England,PE9 3,8,441000,5
East England,PE9 4,8,557000,6
East Midlands,DE1 1,8,155000,6
East Midlands,DE1 2,8,211000,5
East Midlands,DE1 3,8,169000,11
East Midlands,DE11 0,8,195000,15
East Midlands,DE11 7,8,197000,4
East Midlands,DE11 8,8,180000,4
East Midlands,DE11 9,8,222000,18
East Midlands,DE12 6,8,284000,7
East Midlands,DE12 7,8,208000,11
East Midlands,DE12 8,8,346000,2
East Midlands,DE13 0,8,231000,17
East Midlands,DE13 7,8,1000000,1
East Midlands,DE13 8,8,352000,6
East Midlands,DE13 9,8,302000,16
East Midlands,DE14 1,8,189000,4
East Midlands,DE14 2,8,164000,19
East Midlands,DE14 3,8,161000,11
East Midlands,DE15 0,8,328000,10
East Midlands,DE15 9,8,233000,17
East Midlands,DE21 2,8,235000,18
East Midlands,DE21 4,8,197000,16
East Midlands,DE21 5,8,466000,7
East Midlands,DE21 6,8,210000,14
East Midlands,DE21 7,8,246000,18
East Midlands,DE22 1,8,314000,13
East Midlands,DE22 2,8,347000,22
East Midlands,DE22 3,8,149000,15
East Midlands,DE22 4,8,227000,6
East Midlands,DE22 5,8,850000,1
East Midlands,DE23 1,8,231000,13
East Midlands,DE23 2,8,190000,3
East Midlands,DE23 3,8,375000,4
East Midlands,DE23 4,8,334000,5
East Midlands,DE23 6,8,258000,13
East Midlands,DE23 8,8,130000,11
East Midlands,DE24 0,8,190000,15
East Midlands,DE24 1,8,247000,4
East Midlands,DE24 3,8,234000,11
East Midlands,DE24 5,8,279000,3
East Midlands,DE24 8,8,175000,13
East Midlands,DE24 9,8,215000,4
East Midlands,DE3 0,8,270000,13
East Midlands,DE3 9,8,286000,6
East Midlands,DE4 2,8,404000,10
East Midlands,DE4 3,8,299000,12
East Midlands,DE4 4,8,333000,6
East Midlands,DE4 5,8,388000,8
East Midlands,DE45 1,8,509000,6
East Midlands,DE5 3,8,180000,9
East Midlands,DE5 8,8,195000,2
East Midlands,DE5 9,8,179000,6
East Midlands,DE55 1,8,221000,9
East Midlands,DE55 2,8,133000,6
East Midlands,DE55 3,8,188000,2
East Midlands,DE55 4,8,170000,7
East Midlands,DE55 5,8,213000,9
East Midlands,DE55 6,8,221000,12
East Midlands,DE55 7,8,176000,10
East Midlands,DE56 0,8,228000,17
East Midlands,DE56 1,8,216000,11
East Midlands,DE56 2,8,456000,16
East Midlands,DE56 4,8,490000,13
East Midlands,DE6 1,8,338000,8
East Midlands,DE6 2,8,355000,6
East Midlands,DE6 3,8,345000,4
East Midlands,DE6 5,8,595000,6
East Midlands,DE65 5,8,212000,15
East Midlands,DE65 6,8,346000,15
East Midlands,DE7 4,8,253000,16
East Midlands,DE7 5,8,169000,18
East Midlands,DE7 6,8,274000,9
East Midlands,DE7 8,8,162000,8
East Midlands,DE7 9,8,257000,4
East Midlands,DE72 2,8,356000,2
East Midlands,DE72 3,8,384000,24
East Midlands,DE73 5,8,313000,10
East Midlands,DE73 6,8,235000,7
East Midlands,DE73 7,8,285000,2
East Midlands,DE73 8,8,314000,9
East Midlands,DE74 2,8,251000,12
East Midlands,DE75 7,8,199000,22
East Midlands,DN1 2,8,92000,8
East Midlands,DN10 4,8,321000,11
East Midlands,DN10 5,8,406000,1
East Midlands,DN10 6,8,272000,6
East Midlands,DN11 0,8,166000,17
East Midlands,DN11 8,8,196000,13
East Midlands,DN11 9,8,458000,9
East Midlands,DN12 1,8,97000,9
East Midlands,DN12 2,8,139000,9
East Midlands,DN12 3,8,157000,3
East Midlands,DN12 4,8,289000,2
East Midlands,DN14 0,8,234000,10
East Midlands,DN14 5,8,128000,7
East Midlands,DN14 6,8,144000,20
East Midlands,DN14 7,8,265000,7
East Midlands,DN14 8,8,271000,5
East Midlands,DN14 9,8,323000,15
East Midlands,DN15 0,8,222000,3
East Midlands,DN15 6,8,83000,4
East Midlands,DN15 7,8,138000,11
East Midlands,DN15 8,8,153000,12
East Midlands,DN15 9,8,205000,9
East Midlands,DN16 1,8,113000,5
East Midlands,DN16 2,8,131000,7
East Midlands,DN16 3,8,182000,25
East Midlands,DN17 1,8,170000,16
East Midlands,DN17 2,8,213000,16
East Midlands,DN17 3,8,236000,9
East Midlands,DN17 4,8,196000,8
East Midlands,DN18 5,8,158000,16
East Midlands,DN18 6,8,185000,2
East Midlands,DN19 7,8,238000,7
East Midlands,DN2 4,8,197000,7
East Midlands,DN2 5,8,175000,6
East Midlands,DN2 6,8,143000,7
