region,postcode_sector,month,avg_price,volume,delta
East England,PE1 2,1,118000,4,0
East England,PE1 3,1,174000,13,0
East England,PE1 4,1,286000,5,0
East England,PE1 5,1,176000,3,0
East England,PE10 0,1,254000,11,0
East England,PE10 2,1,320000,2,0
East England,PE10 9,1,354000,16,0
East England,PE11 1,1,225000,12,0
East England,PE11 2,1,200000,8,0
East England,PE11 3,1,275000,23,0
East England,PE11 4,1,264000,16,0
East England,PE12 0,1,428000,5,0
East England,PE12 6,1,301000,9,0
East England,PE12 7,1,182000,8,0
East England,PE12 8,1,278000,7,0
East England,PE12 9,1,213000,13,0
East England,PE13 1,1,279000,2,0
East England,PE13 2,1,202000,11,0
East England,PE13 3,1,210000,16,0
East England,PE13 4,1,398000,6,0
East England,PE13 5,1,383000,5,0
East England,PE14 0,1,251000,3,0
East England,PE14 7,1,397000,5,0
East England,PE14 8,1,225000,9,0
East England,PE14 9,1,425000,5,0
East England,PE15 0,1,382000,14,0
East England,PE15 8,1,258000,12,0
East England,PE15 9,1,312000,4,0
East England,PE16 6,1,243000,11,0
East England,PE19 1,1,302000,9,0
East England,PE19 2,1,284000,13,0
East England,PE19 5,1,419000,3,0
East England,PE19 6,1,336000,13,0
East England,PE19 7,1,255000,4,0
East England,PE2 5,1,242000,14,0
East England,PE2 6,1,343000,4,0
East England,PE2 7,1,508000,4,0
East England,PE2 8,1,248000,15,0
East England,PE2 9,1,240000,8,0
East England,PE20 1,1,218000,8,0
East England,PE20 2,1,450000,1,0
East England,PE20 3,1,401000,6,0
East England,PE21 0,1,206000,13,0
East England,PE21 6,1,144000,2,0
East England,PE21 7,1,254000,11,0
East England,PE21 8,1,164000,10,0
East England,PE21 9,1,205000,9,0
East England,PE22 0,1,195000,7,0
East England,PE22 7,1,236000,3,0
East England,PE22 8,1,296000,5,0
East England,PE22 9,1,288000,4,0
East England,PE23 4,1,523000,1,0
East England,PE23 5,1,249000,7,0
East England,PE24 4,1,311000,5,0
East England,PE24 5,1,273000,14,0
