region,postcode_sector,month,avg_price,volume
East England,PE1 1,5,100000,1
East England,PE1 2,5,149000,4
East England,PE1 3,5,182000,11
East England,PE1 4,5,204000,6
East England,PE1 5,5,244000,12
East England,PE10 0,5,319000,12
East England,PE10 2,5,250000,2
East England,PE10 9,5,205000,6
East England,PE11 1,5,228000,7
East England,PE11 2,5,243000,6
East England,PE11 3,5,220000,13
East England,PE11 4,5,256000,8
East England,PE11 5,5,275000,1
East England,PE12 0,5,312000,5
East England,PE12 6,5,240000,10
East England,PE12 7,5,226000,14
East England,PE12 8,5,262000,9
East England,PE12 9,5,241000,13
East England,PE13 1,5,299000,4
East England,PE13 2,5,168000,11
East England,PE13 3,5,160000,5
East England,PE13 4,5,356000,5
East England,PE13 5,5,250000,2
East England,PE14 0,5,233000,8
East England,PE14 7,5,365000,4
East England,PE14 8,5,193000,3
East England,PE14 9,5,304000,5
East England,PE15 0,5,289000,6
East England,PE15 8,5,214000,11
East England,PE15 9,5,291000,13
East England,PE16 6,5,213000,20
East England,PE19 0,5,445000,3
East England,PE19 1,5,292000,8
East England,PE19 2,5,304000,10
East England,PE19 5,5,461000,7
East England,PE19 6,5,398000,2
East England,PE19 7,5,406000,9
East England,PE19 8,5,352000,6
East England,PE2 5,5,148000,11
East England,PE2 6,5,248000,5
East England,PE2 7,5,463000,3
East England,PE2 8,5,229000,23
East England,PE2 9,5,200000,6
East England,PE20 1,5,292000,6
East England,PE20 2,5,145000,2
East England,PE20 3,5,203000,3
East England,PE21 0,5,186000,11
East England,PE21 6,5,119000,4
East England,PE21 7,5,255000,6
East England,PE21 8,5,139000,12
East England,PE21 9,5,210000,10
East England,PE22 0,5,224000,6
East England,PE22 7,5,170000,4
East England,PE22 8,5,317000,3
East England,PE23 4,5,205000,1
East England,PE23 5,5,199000,6
East England,PE24 4,5,109000,3
East England,PE24 5,5,205000,3
East England,PE25 1,5,174000,5
East England,PE25 2,5,157000,5
East England,PE25 3,5,209000,1
East England,PE26 1,5,234000,10
East England,PE26 2,5,255000,1
East England,PE27 3,5,295000,5
East England,PE27 4,5,460000,1
East England,PE27 5,5,354000,5
East England,PE27 6,5,500000,4
East England,PE28 0,5,402000,4
East England,PE28 2,5,231000,3
East England,PE28 3,5,360000,7
East England,PE28 4,5,463000,7
East England,PE28 5,5,346000,7
East England,PE28 9,5,805000,4
East England,PE29 1,5,220000,10
East England,PE29 2,5,406000,7
East England,PE29 3,5,188000,2
East England,PE29 6,5,355000,6
East England,PE29 7,5,85000,1
East England,PE3 6,5,385000,8
East England,PE3 7,5,170000,4
East England,PE3 8,5,270000,5
East England,PE3 9,5,332000,9
East England,PE30 1,5,172000,2
East England,PE30 2,5,163000,6
East England,PE30 3,5,290000,19
East England,PE30 4,5,209000,5
East England,PE30 5,5,152000,9
East England,PE31 6,5,317000,7
East England,PE31 7,5,297000,5
East England,PE31 8,5,563000,5
East England,PE32 1,5,380000,10
East England,PE32 2,5,578000,4
East England,PE33 0,5,334000,4
East England,PE33 9,5,416000,4
East England,PE34 3,5,355000,5
East England,PE34 4,5,249000,8
East England,PE36 5,5,194000,4
East England,PE36 6,5,396000,3
East England,PE37 7,5,296000,7
East England,PE37 8,5,334000,5
East England,PE38 0,5,286000,3
East England,PE38 9,5,253000,12
East England,PE4 5,5,211000,5
East England,PE4 6,5,266000,14
East England,PE4 7,5,179000,14
East England,PE6 0,5,235000,2
East England,PE6 7,5,228000,3
East England,PE6 8,5,267000,14
East England,PE6 9,5,264000,3
East England,PE7 0,5,250000,2
East England,PE7 1,5,262000,15
East England,PE7 2,5,185000,4
East England,PE7 3,5,299000,18
East England,PE7 8,5,321000,25
East England,PE8 4,5,392000,3
East England,PE8 5,5,474000,3
East England,PE8 6,5,257000,4
East England,PE9 1,5,240000,6
East England,PE9 2,5,355000,8
East England,PE9 3,5,1134000,4
East England,PE9 4,5,531000,5
East Midlands,DE1 1,5,128000,5
East Midlands,DE1 2,5,163000,26
East Midlands,DE1 3,5,159000,6
East Midlands,DE11 0,5,184000,11
East Midlands,DE11 7,5,169000,5
East Midlands,DE11 8,5,201000,3
East Midlands,DE11 9,5,182000,20
East Midlands,DE12 6,5,223000,7
East Midlands,DE12 7,5,382000,11
East Midlands,DE12 8,5,495000,2
East Midlands,DE13 0,5,270000,14
East Midlands,DE13 7,5,498000,2
East Midlands,DE13 8,5,490000,8
East Midlands,DE13 9,5,292000,12
East Midlands,DE14 1,5,114000,5
East Midlands,DE14 2,5,164000,21
East Midlands,DE14 3,5,196000,17
East Midlands,DE15 0,5,303000,7
East Midlands,DE15 9,5,170000,14
East Midlands,DE21 2,5,262000,14
East Midlands,DE21 4,5,196000,9
East Midlands,DE21 5,5,185000,1
East Midlands,DE21 6,5,197000,13
East Midlands,DE21 7,5,167000,7
East Midlands,DE22 1,5,304000,5
East Midlands,DE22 2,5,256000,12
East Midlands,DE22 3,5,150000,14
East Midlands,DE22 4,5,256000,9
East Midlands,DE23 1,5,175000,6
East Midlands,DE23 2,5,201000,3
East Midlands,DE23 3,5,294000,6
East Midlands,DE23 4,5,306000,2
East Midlands,DE23 6,5,218000,7
East Midlands,DE23 8,5,123000,8
East Midlands,DE24 0,5,189000,18
East Midlands,DE24 1,5,119000,2
East Midlands,DE24 3,5,163000,5
East Midlands,DE24 5,5,232000,4
East Midlands,DE24 8,5,132000,10
East Midlands,DE24 9,5,181000,10
East Midlands,DE3 0,5,314000,12
East Midlands,DE3 9,5,240000,5
East Midlands,DE4 2,5,302000,4
East Midlands,DE4 3,5,332000,7
East Midlands,DE4 4,5,266000,2
East Midlands,DE4 5,5,597000,2
East Midlands,DE45 1,5,452000,8
East Midlands,DE5 3,5,219000,19
East Midlands,DE5 8,5,224000,4
East Midlands,DE5 9,5,187000,4
East Midlands,DE55 1,5,207000,5
East Midlands,DE55 2,5,167000,12
East Midlands,DE55 3,5,189000,3
East Midlands,DE55 4,5,138000,3
East Midlands,DE55 5,5,152000,7
East Midlands,DE55 6,5,204000,8
East Midlands,DE55 7,5,204000,5
East Midlands,DE56 0,5,238000,13
East Midlands,DE56 1,5,293000,10
East Midlands,DE56 2,5,255000,7
East Midlands,DE56 4,5,680000,1
East Midlands,DE6 1,5,306000,16
East Midlands,DE6 2,5,497000,3
East Midlands,DE6 3,5,298000,4
East Midlands,DE65 5,5,195000,17
East Midlands,DE65 6,5,321000,11
East Midlands,DE7 4,5,244000,9
East Midlands,DE7 5,5,165000,14
East Midlands,DE7 6,5,277000,10
East Midlands,DE7 8,5,159000,10
East Midlands,DE7 9,5,352000,1
East Midlands,DE72 2,5,549000,4
East Midlands,DE72 3,5,375000,15
East Midlands,DE73 5,5,280000,6
East Midlands,DE73 6,5,267000,3
East Midlands,DE73 8,5,324000,9
East Midlands,DE74 0,5,289000,2
East Midlands,DE74 2,5,286000,11
East Midlands,DE75 7,5,195000,17
East Midlands,DN1 1,5,70000,1
East Midlands,DN1 2,5,143000,6
East Midlands,DN1 3,5,146000,1
East Midlands,DN10 4,5,201000,4
East Midlands,DN10 6,5,342000,6
East Midlands,DN11 0,5,140000,18
East Midlands,DN11 8,5,196000,7
East Midlands,DN11 9,5,258000,6
East Midlands,DN12 1,5,84000,14
East Midlands,DN12 2,5,125000,4
East Midlands,DN12 3,5,287000,8
East Midlands,DN12 4,5,112000,2
East Midlands,DN14 0,5,241000,4
East Midlands,DN14 5,5,94000,13
East Midlands,DN14 6,5,164000,17
East Midlands,DN14 7,5,306000,13
East Midlands,DN14 8,5,177000,5
East Midlands,DN14 9,5,245000,11
East Midlands,DN15 6,5,50000,1
East Midlands,DN15 7,5,184000,5
East Midlands,DN15 8,5,184000,5
East Midlands,DN15 9,5,234000,6
East Midlands,DN16 1,5,131000,8
East Midlands,DN16 2,5,88000,7
East Midlands,DN16 3,5,167000,14
East Midlands,DN17 1,5,154000,7
East Midlands,DN17 2,5,141000,9
East Midlands,DN17 3,5,149000,6
East Midlands,DN17 4,5,193000,7
East Midlands,DN18 5,5,232000,11
East Midlands,DN18 6,5,42000,1
East Midlands,DN19 7,5,149000,5
East Midlands,DN2 4,5,155000,11
East Midlands,DN2 5,5,183000,10
East Midlands,DN2 6,5,140000,3
East Midlands,DN20 0,5,141000,2
East Midlands,DN20 8,5,206000,8
East Midlands,DN20 9,5,206000,3
East Midlands,DN21 1,5,105000,21
East Midlands,DN21 2,5,114000,10
East Midlands,DN21 3,5,238000,4
East Midlands,DN21 4,5,156000,4
East Midlands,DN21 5,5,262000,5
East Midlands,DN22 0,5,287000,7
East Midlands,DN22 6,5,181000,8
East Midlands,DN22 7,5,205000,17
East Midlands,DN22 8,5,235000,3
East Midlands,DN22 9,5,174000,2
East Midlands,DN3 1,5,186000,11
East Midlands,DN3 2,5,155000,8
East Midlands,DN3 3,5,156000,19
East Midlands,DN31 1,5,91000,1
East Midlands,DN31 2,5,69000,12
East Midlands,DN32 0,5,133000,9
East Midlands,DN32 7,5,49000,7
East Midlands,DN32 8,5,105000,10
East Midlands,DN32 9,5,102000,12
East Midlands,DN33 2,5,180000,5
East Midlands,DN33 3,5,159000,10
East Midlands,DN34 4,5,131000,11
East Midlands,DN34 5,5,139000,11
East Midlands,DN35 0,5,273000,4
East Midlands,DN35 7,5,89000,12
East Midlands,DN35 8,5,149000,10
East Midlands,DN35 9,5,177000,8
East Midlands,DN36 4,5,237000,6
East Midlands,DN36 5,5,210000,2
East Midlands,DN37 0,5,215000,9
East Midlands,DN37 7,5,190000,5
East Midlands,DN37 9,5,148000,8
East Midlands,DN38 6,5,210000,1
East Midlands,DN4 0,5,118000,11
East Midlands,DN4 5,5,150000,3
East Midlands,DN4 6,5,195000,8
East Midlands,DN4 7,5,211000,4
East Midlands,DN4 8,5,87000,7
East Midlands,DN4 9,5,158000,12
East Midlands,DN40 1,5,148000,7
East Midlands,DN40 2,5,140000,8
East Midlands,DN40 3,5,150000,5
East Midlands,DN41 8,5,278000,4
East Midlands,DN5 0,5,111000,8
East Midlands,DN5 7,5,170000,4
East Midlands,DN5 8,5,180000,12
East Midlands,DN5 9,5,121000,17
East Midlands,DN6 0,5,164000,4
East Midlands,DN6 7,5,162000,10
East Midlands,DN6 8,5,90000,5
East Midlands,DN6 9,5,196000,6
East Midlands,DN7 4,5,122000,10
East Midlands,DN7 5,5,181000,8
East Midlands,DN7 6,5,205000,5
East Midlands,DN8 4,5,155000,7
East Midlands,DN8 5,5,125000,16
East Midlands,DN9 1,5,260000,13
East Midlands,DN9 2,5,238000,2
East Midlands,DN9 3,5,238000,6
East Midlands,LE1 1,5,131000,2
East Midlands,LE1 3,5,128000,1
East Midlands,LE1 6,5,104000,4
East Midlands,LE10 0,5,256000,26
East Midlands,LE10 1,5,243000,19
East Midlands,LE10 2,5,321000,17
East Midlands,LE10 3,5,515000,1
East Midlands,LE11 1,5,178000,13
East Midlands,LE11 2,5,308000,18
East Midlands,LE11 3,5,297000,8
East Midlands,LE11 4,5,191000,12
East Midlands,LE11 5,5,264000,4
East Midlands,LE12 5,5,326000,4
East Midlands,LE12 6,5,353000,17
East Midlands,LE12 7,5,285000,17
East Midlands,LE12 8,5,419000,13
East Midlands,LE12 9,5,235000,16
East Midlands,LE13 0,5,256000,18
East Midlands,LE13 1,5,247000,13
East Midlands,LE14 2,5,300000,9
East Midlands,LE14 3,5,280000,5
East Midlands,LE14 4,5,405000,6
East Midlands,LE15 6,5,297000,14
East Midlands,LE15 7,5,412000,8
East Midlands,LE15 8,5,248000,2
East Midlands,LE15 9,5,482000,6
East Midlands,LE16 7,5,392000,23
East Midlands,LE16 8,5,357000,15
East Midlands,LE16 9,5,320000,22
East Midlands,LE17 4,5,301000,14
East Midlands,LE17 5,5,392000,2
East Midlands,LE17 6,5,592000,7
East Midlands,LE18 1,5,256000,9
East Midlands,LE18 2,5,222000,5
East Midlands,LE18 3,5,265000,13
East Midlands,LE18 4,5,193000,8
East Midlands,LE19 2,5,296000,4
East Midlands,LE19 3,5,203000,4
East Midlands,LE19 4,5,274000,7
East Midlands,LE2 0,5,441000,4
East Midlands,LE2 1,5,259000,6
East Midlands,LE2 2,5,424000,5
East Midlands,LE2 3,5,455000,9
East Midlands,LE2 4,5,257000,3
East Midlands,LE2 5,5,366000,4
East Midlands,LE2 6,5,270000,10
East Midlands,LE2 7,5,143000,3
East Midlands,LE2 8,5,218000,15
East Midlands,LE2 9,5,197000,10
East Midlands,LE3 0,5,203000,10
East Midlands,LE3 1,5,209000,7
East Midlands,LE3 2,5,215000,13
East Midlands,LE3 3,5,270000,16
East Midlands,LE3 5,5,142000,6
East Midlands,LE3 6,5,214000,7
East Midlands,LE3 8,5,330000,14
East Midlands,LE3 9,5,170000,7
East Midlands,LE4 0,5,249000,8
East Midlands,LE4 1,5,225000,3
East Midlands,LE4 2,5,215000,6
East Midlands,LE4 3,5,357000,9
East Midlands,LE4 4,5,406000,4
East Midlands,LE4 5,5,215000,9
East Midlands,LE4 6,5,257000,5
East Midlands,LE4 7,5,296000,6
East Midlands,LE4 8,5,229000,7
East Midlands,LE4 9,5,237000,11
East Midlands,LE5 0,5,239000,4
East Midlands,LE5 1,5,225000,11
East Midlands,LE5 2,5,284000,3
East Midlands,LE5 3,5,208000,1
East Midlands,LE5 4,5,180000,1
East Midlands,LE5 5,5,330000,2
East Midlands,LE5 6,5,410000,4
East Midlands,LE6 0,5,386000,12
East Midlands,LE65 1,5,218000,3
East Midlands,LE65 2,5,286000,10
East Midlands,LE67 1,5,193000,8
East Midlands,LE67 2,5,318000,18
East Midlands,LE67 3,5,201000,14
East Midlands,LE67 4,5,267000,8
East Midlands,LE67 5,5,227000,13
East Midlands,LE67 6,5,269000,10
East Midlands,LE67 8,5,371000,4
East Midlands,LE67 9,5,168000,6
East Midlands,LE7 1,5,199000,6
East Midlands,LE7 2,5,340000,2
East Midlands,LE7 3,5,320000,4
East Midlands,LE7 4,5,642000,5
East Midlands,LE7 7,5,249000,8
East Midlands,LE7 9,5,331000,15
East Midlands,LE8 0,5,431000,6
East Midlands,LE8 4,5,258000,7
East Midlands,LE8 5,5,347000,4
East Midlands,LE8 6,5,188000,2
East Midlands,LE8 8,5,313000,3
East Midlands,LE8 9,5,344000,6
East Midlands,LE9 1,5,365000,2
East Midlands,LE9 2,5,503000,6
East Midlands,LE9 3,5,379000,3
East Midlands,LE9 4,5,329000,13
East Midlands,LE9 6,5,194000,4
East Midlands,LE9 7,5,235000,16
East Midlands,LE9 8,5,188000,7
East Midlands,LE9 9,5,386000,13
East Midlands,LN1 1,5,189000,8
East Midlands,LN1 2,5,286000,10
East Midlands,LN1 3,5,189000,10
East Midlands,LN10 5,5,155000,2
East Midlands,LN10 6,5,358000,7
East Midlands,LN11 0,5,284000,13
East Midlands,LN11 7,5,333000,4
East Midlands,LN11 8,5,192000,12
East Midlands,LN11 9,5,151000,5
East Midlands,LN12 1,5,174000,11
East Midlands,LN12 2,5,215000,11
East Midlands,LN13 9,5,232000,3
East Midlands,LN2 1,5,179000,2
East Midlands,LN2 2,5,393000,7
East Midlands,LN2 3,5,50000,1
East Midlands,LN2 4,5,260000,21
East Midlands,LN2 5,5,139000,8
East Midlands,LN3 4,5,315000,6
East Midlands,LN3 5,5,480000,1
East Midlands,LN4 1,5,256000,14
East Midlands,LN4 2,5,245000,12
East Midlands,LN4 3,5,248000,4
East Midlands,LN4 4,5,162000,12
East Midlands,LN5 0,5,368000,10
East Midlands,LN5 7,5,125000,9
East Midlands,LN5 8,5,150000,6
East Midlands,LN5 9,5,257000,13
East Midlands,LN6 0,5,185000,14
East Midlands,LN6 3,5,235000,3
East Midlands,LN6 4,5,680000,1
East Midlands,LN6 5,5,318000,6
East Midlands,LN6 7,5,175000,6
East Midlands,LN6 8,5,248000,11
East Midlands,LN6 9,5,256000,10
East Midlands,LN7 6,5,372000,6
East Midlands,LN8 2,5,425000,1
East Midlands,LN8 3,5,185000,6
East Midlands,LN8 5,5,287000,5
East Midlands,LN8 6,5,333000,4
East Midlands,LN9 5,5,274000,8
East Midlands,LN9 6,5,207000,6
East Midlands,NG1 1,5,201000,5
East Midlands,NG1 3,5,187000,1
East Midlands,NG1 4,5,161000,3
East Midlands,NG1 5,5,403000,3
East Midlands,NG1 6,5,113000,2
East Midlands,NG10 1,5,197000,6
East Midlands,NG10 2,5,161000,4
East Midlands,NG10 3,5,268000,12
East Midlands,NG10 4,5,229000,7
East Midlands,NG10 5,5,197000,8
East Midlands,NG11 6,5,300000,23
East Midlands,NG11 7,5,241000,4
East Midlands,NG11 8,5,200000,9
East Midlands,NG11 9,5,185000,5
East Midlands,NG12 1,5,307000,2
East Midlands,NG12 2,5,330000,3
East Midlands,NG12 3,5,257000,10
East Midlands,NG12 4,5,542000,6
East Midlands,NG12 5,5,551000,13
East Midlands,NG13 0,5,450000,2
East Midlands,NG13 7,5,300000,1
East Midlands,NG13 8,5,317000,14
East Midlands,NG13 9,5,399000,7
East Midlands,NG14 5,5,210000,1
East Midlands,NG14 6,5,257000,17
East Midlands,NG14 7,5,415000,5
East Midlands,NG15 0,5,129000,4
East Midlands,NG15 6,5,270000,22
East Midlands,NG15 7,5,293000,9
East Midlands,NG15 8,5,267000,6
East Midlands,NG15 9,5,404000,2
East Midlands,NG16 1,5,233000,7
East Midlands,NG16 2,5,222000,19
East Midlands,NG16 3,5,166000,10
East Midlands,NG16 4,5,154000,4
East Midlands,NG16 5,5,300000,11
East Midlands,NG16 6,5,282000,7
East Midlands,NG17 1,5,190000,3
East Midlands,NG17 2,5,172000,8
East Midlands,NG17 3,5,207000,8
East Midlands,NG17 4,5,138000,8
East Midlands,NG17 5,5,127000,5
East Midlands,NG17 7,5,158000,5
East Midlands,NG17 8,5,220000,9
East Midlands,NG17 9,5,225000,5
East Midlands,NG18 1,5,58000,2
East Midlands,NG18 2,5,108000,10
East Midlands,NG18 3,5,222000,9
East Midlands,NG18 4,5,231000,11
East Midlands,NG18 5,5,110000,7
East Midlands,NG18 6,5,365000,1
East Midlands,NG19 0,5,152000,11
East Midlands,NG19 6,5,185000,3
East Midlands,NG19 7,5,224000,7
East Midlands,NG19 8,5,191000,18
East Midlands,NG19 9,5,178000,9
East Midlands,NG2 1,5,154000,1
East Midlands,NG2 2,5,168000,4
East Midlands,NG2 3,5,258000,2
East Midlands,NG2 4,5,181000,13
East Midlands,NG2 5,5,395000,4
East Midlands,NG2 6,5,392000,11
East Midlands,NG2 7,5,365000,9
East Midlands,NG20 0,5,185000,13
East Midlands,NG20 8,5,150000,11
East Midlands,NG20 9,5,187000,5
East Midlands,NG21 0,5,170000,14
East Midlands,NG21 9,5,232000,21
East Midlands,NG22 0,5,95000,2
East Midlands,NG22 8,5,359000,4
East Midlands,NG22 9,5,196000,13
East Midlands,NG23 5,5,419000,10
East Midlands,NG23 6,5,276000,4
East Midlands,NG23 7,5,339000,7
East Midlands,NG24 1,5,138000,7
East Midlands,NG24 2,5,156000,4
East Midlands,NG24 3,5,217000,19
East Midlands,NG24 4,5,163000,13
East Midlands,NG25 0,5,268000,7
East Midlands,NG3 1,5,176000,2
East Midlands,NG3 2,5,162000,6
East Midlands,NG3 3,5,162000,5
East Midlands,NG3 4,5,539000,7
