region,postcode_sector,month,avg_price,volume,delta
East England,PE1 2,11,182000,10,31
East England,PE1 3,11,184000,15,-4
East England,PE1 4,11,209000,5,4
East England,PE1 5,11,199000,4,11
East England,PE10 0,11,279000,11,-27
East England,PE10 9,11,253000,10,8
East England,PE11 1,11,209000,12,34
East England,PE11 2,11,243000,12,14
East England,PE11 3,11,222000,13,-22
East England,PE11 4,11,418000,8,84
East England,PE12 0,11,320000,4,18
East England,PE12 6,11,382000,5,35
East England,PE12 7,11,185000,5,-3
East England,PE12 8,11,329000,4,24
East England,PE12 9,11,208000,18,-9
East England,PE13 1,11,230000,3,90
East England,PE13 2,11,131000,7,-33
East England,PE13 3,11,179000,5,1
East England,PE13 4,11,320000,8,-6
East England,PE13 5,11,282000,6,-14
East England,PE14 0,11,226000,8,-2
East England,PE14 7,11,397000,4,24
East England,PE14 8,11,279000,9,12
East England,PE14 9,11,240000,3,-1
East England,PE15 0,11,410000,7,42
East England,PE15 8,11,228000,15,-7
East England,PE15 9,11,262000,7,-6
East England,PE16 6,11,233000,13,13
East England,PE19 1,11,279000,7,0
East England,PE19 2,11,299000,8,3
East England,PE19 5,11,261000,6,-20
East England,PE19 6,11,244000,13,-26
East England,PE19 8,11,346000,8,-3
East England,PE2 5,11,264000,14,12
East England,PE2 6,11,454000,4,53
East England,PE2 7,11,242000,3,-18
East England,PE2 8,11,219000,20,-4
East England,PE2 9,11,223000,18,21
East England,PE20 1,11,210000,5,-29
East England,PE20 2,11,235000,1,38
East England,PE20 3,11,253000,5,17
East England,PE21 0,11,172000,6,-10
East England,PE21 6,11,320000,1,160
East England,PE21 7,11,196000,13,-25
East England,PE21 8,11,127000,11,-14
East England,PE21 9,11,212000,10,-2
East England,PE22 0,11,265000,2,56
East England,PE22 7,11,233000,6,-18
East England,PE22 8,11,148000,3,-43
East England,PE22 9,11,415000,1,56
East England,PE23 4,11,392000,3,-49
East England,PE23 5,11,272000,7,28
East England,PE24 4,11,296000,2,59
East England,PE24 5,11,309000,4,58
East England,PE25 1,11,201000,8,16
East England,PE25 2,11,143000,5,-32
East England,PE25 3,11,160000,5,3
East England,PE26 1,11,387000,9,70
East England,PE26 2,11,404000,4,31
East England,PE27 3,11,256000,6,-23
East England,PE27 5,11,425000,6,28
East England,PE27 6,11,382000,2,-2
East England,PE28 0,11,332000,3,57
East England,PE28 2,11,316000,9,-11
East England,PE28 3,11,312000,5,-9
East England,PE28 4,11,357000,11,-7
East England,PE28 5,11,299000,12,-31
East England,PE28 9,11,513000,3,12
East England,PE29 1,11,305000,8,24
East England,PE29 2,11,336000,10,5
East England,PE29 3,11,299000,9,112
East England,PE29 6,11,383000,3,33
East England,PE29 7,11,185000,1,-20
East England,PE3 6,11,196000,5,-46
East England,PE3 7,11,171000,3,5
East England,PE3 8,11,202000,5,13
East England,PE3 9,11,231000,6,0
East England,PE30 1,11,432000,2,159
East England,PE30 2,11,136000,8,-12
East England,PE30 3,11,268000,11,-6
East England,PE30 4,11,224000,8,11
East England,PE30 5,11,148000,7,-15
East England,PE31 6,11,489000,7,31
East England,PE31 7,11,297000,8,-9
East England,PE31 8,11,489000,10,-36
East England,PE32 1,11,272000,3,-15
East England,PE32 2,11,458000,2,2
East England,PE33 0,11,358000,2,43
East England,PE33 9,11,288000,8,-17
East England,PE34 3,11,236000,9,-17
East England,PE34 4,11,278000,8,20
East England,PE36 5,11,264000,5,-8
East England,PE36 6,11,249000,2,-51
East England,PE37 7,11,269000,14,30
East England,PE37 8,11,341000,6,28
East England,PE38 0,11,211000,2,-30
East England,PE38 9,11,224000,12,-20
East England,PE4 5,11,243000,6,22
East England,PE4 6,11,223000,9,-1
East England,PE4 7,11,255000,8,6
East England,PE5 7,11,860000,1,114
East England,PE6 0,11,185000,1,-44
East England,PE6 7,11,319000,5,-9
East England,PE6 8,11,269000,9,-1
East England,PE6 9,11,411000,6,37
East England,PE7 0,11,218000,2,-22
East England,PE7 1,11,252000,11,11
East England,PE7 2,11,245000,4,1
East England,PE7 3,11,236000,15,-14
East England,PE7 8,11,312000,9,22
