month,region,property_type,avg_price,volume
1,East England,D,386000,391
1,East England,F,146000,70
1,East England,S,244000,283
1,East England,T,205000,219
1,East Midlands,D,367000,1378
1,East Midlands,F,143000,401
1,East Midlands,S,211000,1872
1,East Midlands,T,158000,1560
1,East of England,D,612000,1370
1,East of England,F,216000,826
1,East of England,S,400000,1370
1,East of England,T,330000,1323
1,Greater London,D,1371000,590
1,Greater London,F,545000,3599
1,Greater London,S,810000,1244
1,Greater London,T,728000,2003
1,North East,D,380000,1046
1,North East,F,133000,630
1,North East,S,204000,1832
1,North East,T,152000,1972
1,North West,D,431000,1485
1,North West,F,151000,983
1,North West,S,227000,2681
1,North West,T,155000,3280
1,South East,D,746000,1935
1,South East,F,238000,1748
1,South East,S,420000,1903
1,South East,T,353000,1974
1,South West,D,568000,1614
1,South West,F,215000,1116
1,South West,S,348000,1374
1,South West,T,299000,1653
1,Wales,D,383000,745
1,Wales,F,162000,261
1,Wales,S,224000,743
1,Wales,T,168000,1040
1,West Midlands,D,460000,1085
1,West Midlands,F,157000,663
1,West Midlands,S,255000,1798
1,West Midlands,T,205000,1666
2,East England,D,380000,366
2,East England,F,147000,86
2,East England,S,250000,275
2,East England,T,220000,221
2,East Midlands,D,360000,1432
2,East Midlands,F,137000,401
2,East Midlands,S,208000,1919
2,East Midlands,T,161000,1527
2,East of England,D,596000,1212
2,East of England,F,216000,811
2,East of England,S,383000,1313
2,East of England,T,326000,1167
2,Greater London,D,1210000,509
2,Greater London,F,518000,3450
2,Greater London,S,744000,1193
2,Greater London,T,712000,1882
2,North East,D,385000,999
2,North East,F,139000,616
2,North East,S,204000,1756
2,North East,T,149000,1950
2,North West,D,410000,1409
2,North West,F,147000,964
2,North West,S,228000,2766
2,North West,T,157000,3287
2,South East,D,692000,1788
2,South East,F,232000,1824
2,South East,S,421000,1801
2,South East,T,352000,1997
2,South West,D,564000,1484
2,South West,F,213000,1208
2,South West,S,342000,1341
2,South West,T,292000,1674
2,Wales,D,375000,722
2,Wales,F,140000,325
2,Wales,S,226000,780
2,Wales,T,169000,1070
2,West Midlands,D,454000,1238
2,West Midlands,F,148000,703
2,West Midlands,S,253000,1784
2,West Midlands,T,205000,1653
3,East England,D,350000,401
3,East England,F,149000,101
3,East England,S,247000,328
3,East England,T,208000,280
3,East Midlands,D,365000,1622
3,East Midlands,F,147000,530
3,East Midlands,S,208000,2198
3,East Midlands,T,153000,1850
3,East of England,D,583000,1395
3,East of England,F,211000,974
3,East of England,S,381000,1426
3,East of England,T,316000,1357
3,Greater London,D,1189000,624
3,Greater London,F,556000,3962
3,Greater London,S,703000,1332
3,Greater London,T,742000,2198
3,North East,D,377000,1124
3,North East,F,132000,757
3,North East,S,198000,1947
3,North East,T,148000,2400
3,North West,D,413000,1726
3,North West,F,150000,1178
3,North West,S,229000,2957
3,North West,T,154000,3833
3,South East,D,706000,2146
3,South East,F,230000,1996
3,South East,S,417000,2119
3,South East,T,350000,2177
3,South West,D,556000,1822
3,South West,F,212000,1320
3,South West,S,337000,1521
3,South West,T,288000,1857
3,Wales,D,362000,879
3,Wales,F,152000,320
3,Wales,S,221000,961
3,Wales,T,163000,1306
3,West Midlands,D,426000,1415
3,West Midlands,F,149000,834
3,West Midlands,S,245000,2142
3,West Midlands,T,198000,1982
4,East England,D,358000,308
4,East England,F,145000,63
4,East England,S,236000,197
4,East England,T,210000,168
4,East Midlands,D,364000,1151
4,East Midlands,F,149000,349
4,East Midlands,S,206000,1636
4,East Midlands,T,156000,1271
4,East of England,D,584000,1103
4,East of England,F,221000,659
4,East of England,S,380000,1066
4,East of England,T,310000,1027
4,Greater London,D,1220000,444
4,Greater London,F,567000,2533
4,Greater London,S,759000,992
4,Greater London,T,714000,1654
4,North East,D,382000,898
4,North East,F,138000,557
4,North East,S,209000,1432
4,North East,T,144000,1735
4,North West,D,426000,1192
4,North West,F,151000,770
4,North West,S,229000,2211
4,North West,T,154000,2849
4,South East,D,743000,1514
4,South East,F,235000,1336
4,South East,S,417000,1543
4,South East,T,343000,1689
4,South West,D,546000,1274
4,South West,F,216000,890
4,South West,S,335000,1105
4,South West,T,293000,1395
4,Wales,D,360000,592
4,Wales,F,143000,232
4,Wales,S,212000,759
4,Wales,T,166000,861
4,West Midlands,D,448000,1025
4,West Midlands,F,149000,542
4,West Midlands,S,242000,1496
4,West Midlands,T,200000,1439
5,East England,D,381000,309
5,East England,F,127000,59
5,East England,S,240000,251
5,East England,T,204000,191
5,East Midlands,D,356000,1290
5,East Midlands,F,144000,361
5,East Midlands,S,207000,1766
5,East Midlands,T,155000,1403
5,East of England,D,584000,1126
5,East of England,F,221000,686
5,East of England,S,385000,1162
5,East of England,T,317000,1141
5,Greater London,D,1190000,492
5,Greater London,F,576000,2789
5,Greater London,S,718000,1080
5,Greater London,T,742000,1812
5,North East,D,380000,822
5,North East,F,139000,572
5,North East,S,197000,1637
5,North East,T,147000,1870
5,North West,D,419000,1256
5,North West,F,151000,892
5,North West,S,228000,2473
5,North West,T,151000,2964
5,South East,D,682000,1679
5,South East,F,239000,1393
5,South East,S,416000,1648
5,South East,T,345000,1794
5,South West,D,554000,1310
5,South West,F,231000,976
5,South West,S,324000,1228
5,South West,T,285000,1527
5,Wales,D,350000,614
5,Wales,F,154000,218
5,Wales,S,216000,820
5,Wales,T,168000,987
5,West Midlands,D,450000,1116
5,West Midlands,F,152000,577
5,West Midlands,S,249000,1757
5,West Midlands,T,198000,1571
6,East England,D,358000,382
6,East England,F,140000,72
6,East England,S,247000,276
6,East England,T,207000,230
6,East Midlands,D,368000,1561
6,East Midlands,F,148000,413
6,East Midlands,S,207000,2084
6,East Midlands,T,163000,1687
6,East of England,D,603000,1392
6,East of England,F,217000,838
6,East of England,S,379000,1421
6,East of England,T,324000,1385
6,Greater London,D,1485000,653
6,Greater London,F,575000,3435
6,Greater London,S,789000,1332
6,Greater London,T,779000,2281
6,North East,D,362000,1219
6,North East,F,135000,696
6,North East,S,203000,2147
6,North East,T,151000,2380
6,North West,D,410000,1600
